

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:43:26 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2439.7, 2439.7, 2439.7 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Feb-18 00:00, , ,   347.50081,   -4.51689,  0.98155181320500,-48.4545029,
 1980-Feb-19 00:00, , ,   348.43315,   -3.85348,  0.95345151260418,-48.7792495,
 1980-Feb-20 00:00, , ,   349.25197,   -3.23124,  0.92526359613603,-48.7536383,
 1980-Feb-21 00:00, , ,   349.94859,   -2.65694,  0.89719696358807,-48.3565573,
 1980-Feb-22 00:00, , ,   350.51513,   -2.13719,  0.86947037721708,-47.5751111,
 1980-Feb-23 00:00, , ,   350.94491,   -1.67833,  0.84230752713456,-46.4051777,
 1980-Feb-24 00:00, , ,   351.23281,   -1.28623,  0.81593191849420,-44.8514774,
 1980-Feb-25 00:00, , ,   351.37558,   -0.96612,  0.79056184075557,-42.9272383,
 1980-Feb-26 00:00, , ,   351.37224,   -0.72235,  0.76640561829016,-40.6535796,
 1980-Feb-27 00:00, , ,   351.22444,   -0.55826,  0.74365726900894,-38.0587367,
 1980-Feb-28 00:00, , ,   350.93663,   -0.47590,  0.72249263355611,-35.1772213,
 1980-Feb-29 00:00, , ,   350.51636,   -0.47585,  0.70306599739381,-32.0489600,
 1980-Mar-01 00:00, , ,   349.97425,   -0.55706,  0.68550721887009,-28.7184011,
 1980-Mar-02 00:00, , ,   349.32396,   -0.71670,  0.66991939527208,-25.2335376,
 1980-Mar-03 00:00, , ,   348.58191,   -0.95013,  0.65637713413770,-21.6447805,
 1980-Mar-04 00:00, , ,   347.76684,   -1.25096,  0.64492553127510,-18.0036365,
 1980-Mar-05 00:00, , ,   346.89917,   -1.61116,  0.63557997182588,-14.3611870,
 1980-Mar-06 00:00, , ,   346.00033,   -2.02141,  0.62832685295848,-10.7664344,
 1980-Mar-07 00:00, , ,   345.09188,   -2.47142,  0.62312527259705, -7.2646357,
 1980-Mar-08 00:00, , ,   344.19471,   -2.95041,  0.61990964577104, -3.8957833,
 1980-Mar-09 00:00, , ,   343.32835,   -3.44751,  0.61859311625131, -0.6933929,
 1980-Mar-10 00:00, , ,   342.51030,   -3.95224,  0.61907154794625,  2.3162787,
 1980-Mar-11 00:00, , ,   341.75564,   -4.45485,  0.62122782707787,  5.1145260,
 1980-Mar-12 00:00, , ,   341.07677,   -4.94661,  0.62493619275889,  7.6900115,
 1980-Mar-13 00:00, , ,   340.48333,   -5.41995,  0.63006633945244, 10.0381778,
 1980-Mar-14 00:00, , ,   339.98230,   -5.86856,  0.63648708963461, 12.1603691,
 1980-Mar-15 00:00, , ,   339.57820,   -6.28737,  0.64406950354738, 14.0627816,
 1980-Mar-16 00:00, , ,   339.27338,   -6.67248,  0.65268936057804, 15.7553541,
 1980-Mar-17 00:00, , ,   339.06834,   -7.02103,  0.66222900414672, 17.2506867,
 1980-Mar-18 00:00, , ,   338.96207,   -7.33107,  0.67257858659137, 18.5630538,
 1980-Mar-19 00:00, , ,   338.95236,   -7.60142,  0.68363678412125, 19.7075622,
 1980-Mar-20 00:00, , ,   339.03613,   -7.83150,  0.69531107496882, 20.6994829,
 1980-Mar-21 00:00, , ,   339.20965,   -8.02123,  0.70751768372406, 21.5537613,
 1980-Mar-22 00:00, , ,   339.46877,   -8.17090,  0.72018128980193, 22.2846845,
 1980-Mar-23 00:00, , ,   339.80910,   -8.28108,  0.73323458176303, 22.9056739,
 1980-Mar-24 00:00, , ,   340.22613,   -8.35253,  0.74661771918863, 23.4291668,
 1980-Mar-25 00:00, , ,   340.71539,   -8.38618,  0.76027774606162, 23.8665626,
 1980-Mar-26 00:00, , ,   341.27246,   -8.38301,  0.77416798633521, 24.2282124,
 1980-Mar-27 00:00, , ,   341.89308,   -8.34409,  0.78824744306552, 24.5234392,
 1980-Mar-28 00:00, , ,   342.57320,   -8.27047,  0.80248021586568, 24.7605798,
 1980-Mar-29 00:00, , ,   343.30895,   -8.16324,  0.81683494652351, 24.9470391,
 1980-Mar-30 00:00, , ,   344.09674,   -8.02344,  0.83128429886168, 25.0893536,
 1980-Mar-31 00:00, , ,   344.93319,   -7.85211,  0.84580447601902, 25.1932567,
 1980-Apr-01 00:00, , ,   345.81520,   -7.65025,  0.86037477611020, 25.2637457,
 1980-Apr-02 00:00, , ,   346.73988,   -7.41881,  0.87497718554145, 25.3051450,
 1980-Apr-03 00:00, , ,   347.70461,   -7.15871,  0.88959600801784, 25.3211662,
 1980-Apr-04 00:00, , ,   348.70698,   -6.87084,  0.90421752641423, 25.3149616,
 1980-Apr-05 00:00, , ,   349.74484,   -6.55603,  0.91882969416761, 25.2891727,
 1980-Apr-06 00:00, , ,   350.81622,   -6.21510,  0.93342185267920, 25.2459722,
 1980-Apr-07 00:00, , ,   351.91937,   -5.84880,  0.94798447136744, 25.1871005,
 1980-Apr-08 00:00, , ,   353.05273,   -5.45787,  0.96250890744621, 25.1138973,
 1980-Apr-09 00:00, , ,   354.21492,   -5.04301,  0.97698718312436, 25.0273308,
 1980-Apr-10 00:00, , ,   355.40474,   -4.60490,  0.99141177854802, 24.9280235,
 1980-Apr-11 00:00, , ,   356.62118,   -4.14418,  1.00577543911200, 24.8162754,
 1980-Apr-12 00:00, , ,   357.86334,   -3.66148,  1.02007099524207, 24.6920838,
 1980-Apr-13 00:00, , ,   359.13050,   -3.15739,  1.03429119091690, 24.5551529,
 1980-Apr-14 00:00, , ,     0.42209,   -2.63252,  1.04842851414237, 24.4048897,
 1980-Apr-15 00:00, , ,     1.73767,   -2.08743,  1.06247501968145, 24.2403817,
 1980-Apr-16 00:00, , ,     3.07694,   -1.52268,  1.07642213407896, 24.0603586,
 1980-Apr-17 00:00, , ,     4.43972,   -0.93884,  1.09026043708331, 23.8631512,
 1980-Apr-18 00:00, , ,     5.82598,   -0.33644,  1.10397942044963, 23.6466559,
 1980-Apr-19 00:00, , ,     7.23581,    0.28395,  1.11756723056090, 23.4083144,
 1980-Apr-20 00:00, , ,     8.66939,    0.92180,  1.13101040211059, 23.1451019,
 1980-Apr-21 00:00, , ,    10.12707,    1.57652,  1.14429358687776, 22.8535205,
 1980-Apr-22 00:00, , ,    11.60925,    2.24754,  1.15739927751530, 22.5295883,
 1980-Apr-23 00:00, , ,    13.11649,    2.93427,  1.17030752380090, 22.1688238,
 1980-Apr-24 00:00, , ,    14.64939,    3.63605,  1.18299563858797, 21.7662265,
 1980-Apr-25 00:00, , ,    16.20869,    4.35222,  1.19543789213837, 21.3162567,
 1980-Apr-26 00:00, , ,    17.79519,    5.08206,  1.20760519585789, 20.8128197,
 1980-Apr-27 00:00, , ,    19.40977,    5.82479,  1.21946477928630, 20.2492597,
 1980-Apr-28 00:00, , ,    21.05337,    6.57956,  1.23097986743656, 19.6183679,
 1980-Apr-29 00:00, , ,    22.72699,    7.34543,  1.24210936935008, 18.9124146,
 1980-Apr-30 00:00, , ,    24.43166,    8.12137,  1.25280759315950, 18.1232108,
 1980-May-01 00:00, , ,    26.16840,    8.90624,  1.26302400811388, 17.2422107,
 1980-May-02 00:00, , ,    27.93825,    9.69876,  1.27270307988567, 16.2606652,
 1980-May-03 00:00, , ,    29.74219,   10.49750,  1.28178421186584, 15.1698376,
 1980-May-04 00:00, , ,    31.58111,   11.30088,  1.29020183168236, 13.9612925,
 1980-May-05 00:00, , ,    33.45579,   12.10713,  1.29788566818851, 12.6272681,
 1980-May-06 00:00, , ,    35.36681,   12.91426,  1.30476126862325, 11.1611364,
 1980-May-07 00:00, , ,    37.31454,   13.72009,  1.31075080703493,  9.5579505,
 1980-May-08 00:00, , ,    39.29903,   14.52222,  1.31577423137626,  7.8150670,
 1980-May-09 00:00, , ,    41.31999,   15.31799,  1.31975078554976,  5.9328159,
 1980-May-10 00:00, , ,    43.37668,   16.10457,  1.32260092173672,  3.9151727,
 1980-May-11 00:00, , ,    45.46787,   16.87889,  1.32424858588260,  1.7703652,
 1980-May-12 00:00, , ,    47.59179,   17.63772,  1.32462381525777, -0.4886687,
 1980-May-13 00:00, , ,    49.74608,   18.37770,  1.32366553461389, -2.8440679,
 1980-May-14 00:00, , ,    51.92775,   19.09540,  1.32132438373900, -5.2731665,
 1980-May-15 00:00, , ,    54.13321,   19.78738,  1.31756536515105, -7.7490060,
 1980-May-16 00:00, , ,    56.35831,   20.45030,  1.31237007859105,-10.2412524,
 1980-May-17 00:00, , ,    58.59836,   21.08095,  1.30573831846574,-12.7174730,
 1980-May-18 00:00, , ,    60.84826,   21.67640,  1.29768885473354,-15.1446655,
 1980-May-19 00:00, , ,    63.10260,   22.23401,  1.28825929275320,-17.4908901,
 1980-May-20 00:00, , ,    65.35575,   22.75156,  1.27750500245252,-19.7268308,
 1980-May-21 00:00, , ,    67.60203,   23.22723,  1.26549720610689,-21.8271214,
 1980-May-22 00:00, , ,    69.83584,   23.65969,  1.25232039957305,-23.7713095,
 1980-May-23 00:00, , ,    72.05173,   24.04808,  1.23806933915636,-25.5443891,
 1980-May-24 00:00, , ,    74.24453,   24.39196,  1.22284584732170,-27.1368985,
 1980-May-25 00:00, , ,    76.40941,   24.69137,  1.20675567574066,-28.5446354,
 1980-May-26 00:00, , ,    78.54191,   24.94671,  1.18990562169147,-29.7680811,
 1980-May-27 00:00, , ,    80.63800,   25.15874,  1.17240103568358,-30.8116391,
 1980-May-28 00:00, , ,    82.69406,   25.32848,  1.15434379673817,-31.6827926,
 1980-May-29 00:00, , ,    84.70687,   25.45725,  1.13583077678032,-32.3912664,
 1980-May-30 00:00, , ,    86.67361,   25.54651,  1.11695277290897,-32.9482534,
 1980-May-31 00:00, , ,    88.59178,   25.59790,  1.09779385786045,-33.3657441,
 1980-Jun-01 00:00, , ,    90.45923,   25.61316,  1.07843108377924,-33.6559759,
 1980-Jun-02 00:00, , ,    92.27404,   25.59413,  1.05893446979367,-33.8310007,
 1980-Jun-03 00:00, , ,    94.03455,   25.54267,  1.03936720663275,-33.9023634,
 1980-Jun-04 00:00, , ,    95.73929,   25.46070,  1.01978601866064,-33.8808763,
 1980-Jun-05 00:00, , ,    97.38695,   25.35012,  1.00024163297540,-33.7764716,
 1980-Jun-06 00:00, , ,    98.97631,   25.21285,  0.98077931508319,-33.5981153,
 1980-Jun-07 00:00, , ,   100.50628,   25.05080,  0.96143944015470,-33.3537681,
 1980-Jun-08 00:00, , ,   101.97580,   24.86585,  0.94225807731259,-33.0503775,
 1980-Jun-09 00:00, , ,   103.38385,   24.65988,  0.92326757125497,-32.6938933,
 1980-Jun-10 00:00, , ,   104.72942,   24.43471,  0.90449711038559,-32.2892985,
 1980-Jun-11 00:00, , ,   106.01149,   24.19217,  0.88597327345574,-31.8406523,
 1980-Jun-12 00:00, , ,   107.22903,   23.93404,  0.86772054809589,-31.3511438,
 1980-Jun-13 00:00, , ,   108.38096,   23.66211,  0.84976181567048,-30.8231548,
 1980-Jun-14 00:00, , ,   109.46616,   23.37813,  0.83211879877157,-30.2583255,
 1980-Jun-15 00:00, , ,   110.48346,   23.08382,  0.81481247066028,-29.6576192,
 1980-Jun-16 00:00, , ,   111.43165,   22.78091,  0.79786342922909,-29.0213800,
 1980-Jun-17 00:00, , ,   112.30947,   22.47111,  0.78129224028273,-28.3493810,
 1980-Jun-18 00:00, , ,   113.11564,   22.15612,  0.76511975538233,-27.6408647,
 1980-Jun-19 00:00, , ,   113.84882,   21.83764,  0.74936740836958,-26.8945770,
 1980-Jun-20 00:00, , ,   114.50769,   21.51736,  0.73405749273266,-26.1087996,
 1980-Jun-21 00:00, , ,   115.09094,   21.19698,  0.71921341988011,-25.2813848,
 1980-Jun-22 00:00, , ,   115.59730,   20.87817,  0.70485995648782,-24.4097934,
 1980-Jun-23 00:00, , ,   116.02560,   20.56264,  0.69102343740732,-23.4911416,
 1980-Jun-24 00:00, , ,   116.37476,   20.25207,  0.67773194908858,-22.5222569,
 1980-Jun-25 00:00, , ,   116.64393,   19.94814,  0.66501547702593,-21.4997467,
