

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:41:52 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: jup365_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Feb-19 00:00, , ,   157.34715,   10.62505,  5.39068889633024,  0.3979776,
 1980-Feb-20 00:00, , ,   157.42068,   10.59760,  5.39091943344267,  0.3993979,
 1980-Feb-21 00:00, , ,   157.49420,   10.57014,  5.39114984190381,  0.3994802,
 1980-Feb-22 00:00, , ,   157.56770,   10.54266,  5.39138046934125,  0.3978329,
 1980-Feb-23 00:00, , ,   157.64118,   10.51517,  5.39160987807495,  0.3976106,
 1980-Feb-24 00:00, , ,   157.71465,   10.48766,  5.39183902396095,  0.3953840,
 1980-Feb-25 00:00, , ,   157.78809,   10.46014,  5.39206752632978,  0.3958686,
 1980-Feb-26 00:00, , ,   157.86152,   10.43261,  5.39229530127525,  0.3935063,
 1980-Feb-27 00:00, , ,   157.93492,   10.40506,  5.39252316996444,  0.3948680,
 1980-Feb-28 00:00, , ,   158.00830,   10.37750,  5.39275080001464,  0.3943412,
 1980-Feb-29 00:00, , ,   158.08167,   10.34992,  5.39297856596763,  0.3929875,
 1980-Mar-01 00:00, , ,   158.15503,   10.32232,  5.39320494276781,  0.3921442,
 1980-Mar-02 00:00, , ,   158.22836,   10.29471,  5.39343103834498,  0.3900388,
 1980-Mar-03 00:00, , ,   158.30167,   10.26709,  5.39365634205277,  0.3904829,
 1980-Mar-04 00:00, , ,   158.37496,   10.23945,  5.39388108136866,  0.3880392,
 1980-Mar-05 00:00, , ,   158.44823,   10.21181,  5.39410581830109,  0.3898093,
 1980-Mar-06 00:00, , ,   158.52147,   10.18415,  5.39433058129556,  0.3893428,
 1980-Mar-07 00:00, , ,   158.59471,   10.15647,  5.39455572660485,  0.3889242,
 1980-Mar-08 00:00, , ,   158.66792,   10.12878,  5.39477969300865,  0.3879307,
 1980-Mar-09 00:00, , ,   158.74112,   10.10107,  5.39500357231620,  0.3863569,
 1980-Mar-10 00:00, , ,   158.81430,   10.07335,  5.39522665151467,  0.3867424,
 1980-Mar-11 00:00, , ,   158.88746,   10.04562,  5.39544931698979,  0.3842057,
 1980-Mar-12 00:00, , ,   158.96059,   10.01788,  5.39567171918606,  0.3858836,
 1980-Mar-13 00:00, , ,   159.03371,    9.99012,  5.39589415630912,  0.3849911,
 1980-Mar-14 00:00, , ,   159.10682,    9.96234,  5.39611684171000,  0.3848609,
 1980-Mar-15 00:00, , ,   159.17991,    9.93455,  5.39633824111681,  0.3830825,
 1980-Mar-16 00:00, , ,   159.25299,    9.90675,  5.39655936687269,  0.3815497,
 1980-Mar-17 00:00, , ,   159.32604,    9.87893,  5.39677943414009,  0.3813832,
 1980-Mar-18 00:00, , ,   159.39907,    9.85110,  5.39699906167258,  0.3787071,
 1980-Mar-19 00:00, , ,   159.47208,    9.82326,  5.39721812648636,  0.3802055,
 1980-Mar-20 00:00, , ,   159.54507,    9.79541,  5.39743733380084,  0.3792441,
 1980-Mar-21 00:00, , ,   159.61804,    9.76754,  5.39765684292991,  0.3798281,
 1980-Mar-22 00:00, , ,   159.69100,    9.73966,  5.39787532581534,  0.3779090,
 1980-Mar-23 00:00, , ,   159.76394,    9.71176,  5.39809368115539,  0.3770989,
 1980-Mar-24 00:00, , ,   159.83687,    9.68386,  5.39831111804539,  0.3769041,
 1980-Mar-25 00:00, , ,   159.90977,    9.65593,  5.39852838333845,  0.3746827,
 1980-Mar-26 00:00, , ,   159.98265,    9.62800,  5.39874501319319,  0.3761283,
 1980-Mar-27 00:00, , ,   160.05551,    9.60006,  5.39896196913307,  0.3752130,
 1980-Mar-28 00:00, , ,   160.12836,    9.57210,  5.39917919781026,  0.3762157,
 1980-Mar-29 00:00, , ,   160.20119,    9.54412,  5.39939552042427,  0.3738118,
 1980-Mar-30 00:00, , ,   160.27401,    9.51614,  5.39961154242470,  0.3731590,
 1980-Mar-31 00:00, , ,   160.34682,    9.48813,  5.39982647171091,  0.3722509,
 1980-Apr-01 00:00, , ,   160.41960,    9.46012,  5.40004110406528,  0.3699715,
 1980-Apr-02 00:00, , ,   160.49236,    9.43210,  5.40025471928976,  0.3707152,
 1980-Apr-03 00:00, , ,   160.56510,    9.40406,  5.40046856955066,  0.3695879,
 1980-Apr-04 00:00, , ,   160.63783,    9.37601,  5.40068250189274,  0.3707701,
 1980-Apr-05 00:00, , ,   160.71054,    9.34795,  5.40089567827446,  0.3680973,
 1980-Apr-06 00:00, , ,   160.78323,    9.31987,  5.40110848650355,  0.3679101,
 1980-Apr-07 00:00, , ,   160.85591,    9.29178,  5.40132031748121,  0.3667938,
 1980-Apr-08 00:00, , ,   160.92857,    9.26368,  5.40153203054643,  0.3651674,
 1980-Apr-09 00:00, , ,   161.00120,    9.23557,  5.40174275257982,  0.3657481,
 1980-Apr-10 00:00, , ,   161.07382,    9.20745,  5.40195394473436,  0.3650679,
 1980-Apr-11 00:00, , ,   161.14641,    9.17931,  5.40216530388581,  0.3667182,
 1980-Apr-12 00:00, , ,   161.21900,    9.15116,  5.40237626233561,  0.3641100,
 1980-Apr-13 00:00, , ,   161.29158,    9.12300,  5.40258681741632,  0.3642967,
 1980-Apr-14 00:00, , ,   161.36413,    9.09483,  5.40279646127034,  0.3627275,
 1980-Apr-15 00:00, , ,   161.43667,    9.06664,  5.40300592120667,  0.3613466,
 1980-Apr-16 00:00, , ,   161.50919,    9.03844,  5.40321415323831,  0.3610963,
 1980-Apr-17 00:00, , ,   161.58169,    9.01023,  5.40342269300390,  0.3602960,
 1980-Apr-18 00:00, , ,   161.65418,    8.98201,  5.40363111517113,  0.3616711,
 1980-Apr-19 00:00, , ,   161.72665,    8.95377,  5.40383918182594,  0.3587811,
 1980-Apr-20 00:00, , ,   161.79911,    8.92552,  5.40404657100917,  0.3589585,
 1980-Apr-21 00:00, , ,   161.87155,    8.89726,  5.40425304046045,  0.3569217,
