Date,R.A._ICRF,DEC_ICRF,delta,deldot,R.A._Ecl,DEC_Ecl,Opposition,x_ICRF,y_ICRF,z_ICRF,x_Ecl,y_Ecl,z_Ecl,x_Pol,y_Pol
07/27/1985,253.13823,-22.57268,18.41660319164,22.5071408,254.4640514255488,-0.0382109270689284,1.0,-4.93275636041523,-16.274645718083676,-7.069306511813472,-4.93275636041523,-17.74370414938562,-0.012282759589047565,18.416599095710954,-1.8419498146720643
07/28/1985,253.11544,-22.57038,18.4296943787286,22.8253788,254.44288229380376,-0.0383560064568731,1.0,-4.942822841527336,-16.28452131240943,-7.073648484078016,-4.942822841527336,-17.754491967400526,-0.012338157335482158,18.429690248705054,-1.842319285720566
07/29/1985,253.09342,-22.56815,18.4429674110246,23.1368892,254.42242719626043,-0.0384916298009659,1.0,-4.952725405177016,-16.29461078108882,-7.0780800700369015,-4.952725405177016,-17.765511657579395,-0.01239069974779472,18.44296324874816,-1.842676294521293
07/30/1985,253.07218,-22.56601,18.4564184462249,23.4417849,254.40269765071065,-0.0386362731920968,1.0,-4.962459217105173,-16.304909563579418,-7.082605770774987,-4.962459217105173,-17.776760826134048,-0.012446330569774844,18.456414249550374,-1.8430206400508218
07/31/1985,253.05173,-22.56395,18.4700436729757,23.7401264,254.3837017061494,-0.0387786199383999,1.0,-4.972020500810519,-16.31541667409558,-7.087221188293298,-4.972020500810519,-17.788236819200957,-0.012501406838797635,18.470039442200893,-1.8433521818277094
08/01/1985,253.03208,-22.56197,18.4838393495206,24.0320446,254.3654485655796,-0.0389172930246885,1.0,-4.981405113097839,-16.32613000927349,-7.091924923346861,-4.981405113097839,-17.799937150393948,-0.012555481442335648,18.483835085251435,-1.843670759229255
08/02/1985,253.01323,-22.56007,18.4978017480376,24.317444,254.3479382584921,-0.0390519957468472,1.0,-4.990611739185667,-16.337046608888787,-7.096715583803572,-4.990611739185667,-17.81185855000193,-0.0126084546332077,18.49779745095547,-1.8439763717407474
08/03/1985,252.9952,-22.55826,18.5119270876779,24.596303,254.33119032083144,-0.0391902270104248,1.0,-4.999632962074348,-16.348164020930433,-7.101594742647469,-4.999632962074348,-17.823999394045458,-0.01266274494974251,18.51192275681792,-1.8442686783956173
08/04/1985,252.97799,-22.55653,18.5262115860969,24.8685722,254.3152036185148,-0.0393217755292244,1.0,-5.0084677644039095,-16.359480420226227,-7.106558011160726,-5.0084677644039095,-17.83635626223066,-0.012715051833260382,18.52620722275037,-1.8445476989873633
08/05/1985,252.9616,-22.55489,18.5406513917598,25.1341073,254.2999793426168,-0.0394563069576418,1.0,-5.017114366778958,-16.37099154436276,-7.111606943288395,-5.017114366778958,-17.848925861992985,-0.012768496490576986,18.540646995082504,-1.8448134127277946
08/06/1985,252.94605,-22.55334,18.5552426049144,25.3928596,254.28553586489892,-0.039591412737298,1.0,-5.025565602041825,-16.382696021418436,-7.116740094776901,-5.025565602041825,-17.86170636012804,-0.012822299563689299,18.55523817459276,-1.8450654989691873
08/07/1985,252.93134,-22.55188,18.5699812514256,25.6446221,254.27187321117057,-0.0397268462654712,1.0,-5.033819971561944,-16.394590662300995,-7.1219559945141055,-5.033819971561944,-17.874694245526094,-0.012876379881030964,18.569976787199803,-1.845303957261084
08/08/1985,252.91748,-22.55051,18.5848632585342,25.889309,254.2590005778572,-0.0398612951656966,1.0,-5.04187306898001,-16.406673064387938,-7.127253135184394,-5.04187306898001,-17.88788671424845,-0.012930310215411467,18.584858760439694,-1.8455286270955829
08/09/1985,252.90448,-22.54923,18.5998845278854,26.1268342,254.24692715981493,-0.0399934571799512,1.0,-5.049720455377161,-16.418940801368077,-7.132630001225838,-5.049720455377161,-17.901280937342285,-0.012983665196612648,18.59987999625559,-1.8457393479921722
08/10/1985,252.89233,-22.54804,18.6150408567436,26.3569854,254.2356438060573,-0.0401242020682582,1.0,-5.05736337368161,-16.43138958782931,-7.138085038562629,-5.05736337368161,-17.914872364842967,-0.013036723626190572,18.61503629172048,-1.8459362796656937
08/11/1985,252.88106,-22.54694,18.6303279574193,26.5796682,254.2251780526398,-0.0402500908248046,1.0,-5.0647915559757415,-16.444018586764543,-7.1436166620038035,-5.0647915559757415,-17.92865959825894,-0.01308836406193059,18.630323359934618,-1.846118941521324
08/12/1985,252.87067,-22.54594,18.6457414628442,26.7946734,254.21553108920344,-0.0403808675749626,1.0,-5.072002919395062,-16.456823050840377,-7.149226262904549,-5.072002919395062,-17.942638835445713,-0.013141751427360404,18.645736831608364,-1.8462873127958903
08/13/1985,252.86115,-22.54504,18.6612768964811,27.0018858,254.2066937620923,-0.0405174423274546,1.0,-5.078998575998776,-16.469798431324076,-7.154912193989296,-5.078998575998776,-17.956805247773964,-0.01319718375781509,18.661272229981538,-1.8464415532508296
08/14/1985,252.85253,-22.54423,18.6769297244211,27.2011535,254.1986924314842,-0.0406464782787682,1.0,-5.085768477374439,-16.482944860493713,-7.160669776734077,-5.085768477374439,-17.971157095597256,-0.013250315973972526,18.676925024213464,-1.846581202814267
08/15/1985,252.84479,-22.54352,18.692695272373,27.3921965,254.19150993964124,-0.0407799274730957,1.0,-5.092316154172314,-16.4962555216354,-7.166500296285848,-5.092316154172314,-17.985688635904285,-0.013305038707166261,18.692690537259235,-1.846706560945202
08/16/1985,252.83796,-22.5429,18.7085687604613,27.5749195,254.18517264218437,-0.0409044783611531,1.0,-5.098631442051012,-16.509730324709086,-7.1723989772194425,-5.098631442051012,-18.000397886530653,-0.013357006405988692,18.708563992334856,-1.8468171676512963
08/17/1985,252.83203,-22.54239,18.7245453310715,27.7491221,254.17967372529904,-0.0410409600114762,1.0,-5.104714541167461,-16.52336196381072,-7.178370060218277,-5.104714541167461,-18.01527983128623,-0.013413015942255413,18.724540526975687,-1.8469131418560103
08/18/1985,252.82701,-22.54197,18.7406200131914,27.9146692,254.1750200226709,-0.041168325391709,1.0,-5.110561321921466,-16.53714958727404,-7.1844056804882825,-5.110561321921466,-18.030330560348293,-0.01346619028118301,18.740615175082947,-1.8469943642890678
08/19/1985,252.8229,-22.54165,18.7567877928545,28.0714809,254.17121271573032,-0.0412964193354529,1.0,-5.1161694007898975,-16.551087817450334,-7.190507007690331,-5.1161694007898975,-18.045545605084424,-0.013519741670658725,18.756782920393377,-1.8470608143306
08/20/1985,252.8197,-22.54143,18.7730435874377,28.2194624,254.1682518103375,-0.0414251714490386,1.0,-5.121536732824063,-16.56517240184018,-7.196672170349443,-5.121536732824063,-18.060920319472693,-0.013573644612266733,18.77303868029914,-1.8471124918783293
08/21/1985,252.81742,-22.54132,18.7893823318676,28.3587592,254.1661476576736,-0.0415633723760465,1.0,-5.126658001441094,-16.579398786580924,-7.202902333426241,-5.126658001441094,-18.07645098882002,-0.013630779358359213,18.789377387634545,-1.847149216270047
08/22/1985,252.81605,-22.5413,18.8057990350553,28.4894271,254.16488873776728,-0.0416922067371778,1.0,-5.131534795647463,-16.593764286491368,-7.20918960718262,-5.131534795647463,-18.092132011164324,-0.013684975318502879,18.805794055778062,-1.8471711885672146
08/23/1985,252.81561,-22.54138,18.8222887406457,28.6115991,254.1644945700082,-0.0418194111099836,1.0,-5.136158904445047,-16.60826532072557,-7.2155351971223824,-5.136158904445047,-18.107960580665114,-0.013738762899030199,18.82228372654689,-1.8471780680922008
