Date,R.A._ICRF,DEC_ICRF,delta,deldot,Opposition,x_ICRF,y_ICRF,z_ICRF,x_Ecl,y_Ecl,z_Ecl,x_Pol,y_Pol,Open,High,Low,Close,Volume,Changed,%_Changed,%_Range
1984-09-07,312.02083,-22.65094,0.00267146854537,0.0338602,1,0.0016503494939641,-0.0018315592933413,-0.0010288251997539,0.0016503494939641,-0.002089665921158,-0.0002153765879209,0.0026627724488353,-0.9023261483059732,0.1183,0.12,0.1172,0.1183,667877760.0,0.0,0.0,2.3890784982935127
1984-09-10,347.60672,-10.59877,0.0027109765634,0.0118804,1,0.002602630521902,-0.0005719054320357,-0.0004986305953065,0.002602630521902,-0.0007230567945669,-0.0002299938381748,0.0027012028360909,-0.2709839013713968,0.1183,0.1188,0.1155,0.1177,525593120.0,-0.0006000000000000033,-0.5071851225697408,2.8571428571428545
1984-09-11,358.46699,-5.58401,0.00271568494293,0.0043533,1,0.0027018305248559,-7.23076274926971e-05,-0.0002642501300283,0.0027018305248559,-0.0001714535786436,-0.0002136824620409,0.0027072651356438,-0.0633733264160545,0.1188,0.1222,0.1188,0.12,1219454848.0,0.0011999999999999927,1.010101010101004,2.861952861952862
1984-09-12,9.11285,-0.38276,0.0027158941617,-0.0037473,1,0.0026815551529742,0.0004301324028227,-1.8143184822869248e-05,0.0026815551529742,0.0003874218525775,-0.0001877428221235,0.0027093973001937,0.1434837181906009,0.12,0.1205,0.1166,0.1166,1069285376.0,-0.0034000000000000002,-2.8333333333333335,3.3447684391080625
1984-09-13,19.74807,4.83703,0.00271120093384,-0.0126512,3,0.002542660279679,0.000912811633131,0.0002286134908925,0.002542660279679,0.0009284255507221,-0.0001533466744462,0.0027068607834706,0.3500978968902871,0.1228,0.1233,0.1228,0.1228,1664228736.0,0.0,0.0,0.407166123778502
1984-09-14,30.58385,9.91006,0.00270111245438,-0.0224255,2,0.0022906522455785,0.0013538166156269,0.0004648670264549,0.0022906522455785,0.0014270159636053,-0.0001120099131689,0.0026987890378017,0.5571408291531332,0.1233,0.1272,0.1233,0.1244,1977111680.0,0.0010999999999999899,0.8921330089213219,3.1630170316301705
1984-09-17,66.32979,22.41079,0.00263483634899,-0.0539222,2,0.0009779200206915,0.0022309148312775,0.0010045168165219,0.0009779200206915,0.0024463981760243,3.421963521507698e-05,0.002634614127823,1.1905152306683535,0.1278,0.1295,0.1278,0.1278,1542552064.0,0.0,0.0,1.3302034428795046
1984-09-18,79.82483,24.93789,0.00260105713507,-0.0627218,2,0.0004166569625104,0.0023214539251463,0.0010966981667317,0.0004166569625104,0.0025661337973118,8.278000836002119e-05,0.0025997395427454,1.4098334276180868,0.1278,0.1289,0.1233,0.1233,782924032.0,-0.00449999999999999,-3.521126760563373,4.5417680454176645
1984-09-19,94.1295,26.22838,0.0025629096735,-0.0688381,2,-0.0001655555250948,0.0022930627375909,0.0011326785263712,-0.0001655555250948,0.0025543975493171,0.0001270847066842,0.0025597569165541,1.6355177705246036,0.1233,0.1244,0.1205,0.1205,854783168.0,-0.002800000000000011,-2.2708840227088487,3.2365145228215777
1984-09-20,109.03329,26.05921,0.00252231434313,-0.070989,2,-0.0007389486676568,0.0021420189608349,0.0011080520220418,-0.0007389486676568,0.0024060217260881,0.0001645720684656,0.002516939744976,1.8687766457961712,0.1211,0.1222,0.1211,0.1211,534732288.0,0.0,0.0,0.9083402146985994
