Date,GJupiter,GLuna,GMars,GMercury,GNeptune,GSaturn,GUranus,GVenus
02/21/1980,156.0554591,35.9137689,157.7259504,349.7198682,262.6601865,175.5938855,235.8176615,13.28232948
02/22/1980,155.9243673,49.99408841,157.3343435,350.4447047,262.6777234,175.5246815,235.8246153,14.45007369
02/23/1980,155.7930295,63.68490558,156.9401624,351.0202847,262.6947392,175.4545894,235.8306532,15.61548024
02/24/1980,155.6615536,76.99939327,156.5441605,351.4393962,262.711243,175.3836629,235.8357774,16.77845692
02/25/1980,155.5300148,89.97142893,156.1471024,351.6968282,262.7272263,175.3119338,235.8399949,17.93895431
02/26/1980,155.3985355,102.6462099,155.7497291,351.7898289,262.7426796,175.2394374,235.8432988,19.09691081
02/27/1980,155.2671743,115.0728197,155.3527775,351.7184847,262.7576118,175.1662316,235.8456983,20.25225973
02/28/1980,155.1360536,127.2992028,154.9570032,351.4859873,262.7720043,175.0923441,235.8471912,21.40494096
02/29/1980,155.0052501,139.3695664,154.563127,351.0989849,262.7858675,175.0178102,235.8477796,22.55488265
03/01/1980,154.8748734,151.3235953,154.1718735,350.5676257,262.7991997,174.9426655,235.8474614,23.70203426
03/02/1980,154.7449945,163.1972488,153.7839384,349.9056004,262.8119933,174.8669731,235.8462504,24.84634471
03/03/1980,154.6157045,175.0244991,153.4000304,349.1299063,262.8242473,174.790746,235.8441326,25.98773336
03/04/1980,154.4870982,186.8396626,153.0208189,348.2604232,262.8359621,174.7140382,235.8411197,27.12615052
03/05/1980,154.3592576,198.6798119,152.6469625,347.3192785,262.8471279,174.6368811,235.8372231,28.26153183
03/06/1980,154.2322717,210.5869213,152.2791245,346.330079,262.8577454,174.5593233,235.832429,29.39382034
03/07/1980,154.106237,222.6093173,151.917909,345.3169523,262.8678144,174.4814056,235.826742,30.52295031
03/08/1980,153.9812426,234.8020894,151.5639191,344.3035916,262.8773351,174.4031726,235.8201781,31.64884192
03/09/1980,153.8573702,247.226073,151.2177358,343.3124327,262.886298,174.3246557,235.8127374,32.77145401
03/10/1980,153.7346959,259.9450363,150.8799084,342.3638217,262.8947125,174.2459128,235.8044129,33.8906972
03/11/1980,153.6133251,273.0206016,150.5509879,341.4755052,262.9025688,174.1669752,235.7952114,35.00650847
03/12/1980,153.4933194,286.5045431,150.2314581,340.6622711,262.909868,174.0878929,235.7851446,36.11880886
03/13/1980,153.3747749,300.4285558,149.9218099,339.9358243,262.9165997,174.0087143,235.7742099,37.22752001
03/14/1980,153.2577803,314.7924194,149.6225035,339.3048555,262.9227736,173.9294802,235.7624189,38.33255787
03/15/1980,153.1424282,329.5530201,149.3339542,338.7752533,262.9283899,173.850239,235.7497647,39.43383042
03/16/1980,153.0287835,344.61843,149.056583,338.3504224,262.9334392,173.7710314,235.7362702,40.53122437
03/17/1980,152.9169313,359.8515437,148.7907575,338.0316513,262.937922,173.6919072,235.7219284,41.62463464
03/18/1980,152.8069529,15.0858937,148.5368058,337.8184961,262.9418373,173.6129057,235.7067601,42.71393783
03/19/1980,152.6989061,30.15120717,148.2950173,337.7091366,262.9451949,173.5340898,235.6907628,43.79900127
03/20/1980,152.5928885,44.90106179,148.0656496,337.7007563,262.9479855,173.4555,235.673948,44.87966504
03/21/1980,152.4889615,59.23347969,147.8489036,337.7897916,262.9502096,173.3771667,235.6563341,45.9557967
03/22/1980,152.3871935,73.09903383,147.6449558,337.9721961,262.9518847,173.2991538,235.637921,47.02724878
03/23/1980,152.2876476,86.4970434,147.4539403,338.2436409,262.9529933,173.2214876,235.6187203,48.09385902
03/24/1980,152.1903795,99.46428044,147.2759368,338.5996579,262.9535442,173.1442166,235.5987386,49.15547797
03/25/1980,152.0954432,112.0615213,147.1110237,339.0357907,262.9535373,173.0673905,235.5779943,50.21195306
03/26/1980,152.0028761,124.361285,146.9592375,339.5476444,262.9529824,172.9910458,235.5564921,51.26312635
03/27/1980,151.9127576,136.4384713,146.8205885,340.1309668,262.9518692,172.9152166,235.5342387,52.30884012
03/28/1980,151.8251236,148.3640048,146.6950666,340.7817301,262.950208,172.8399488,235.5112548,53.34892512
03/29/1980,151.740026,160.201005,146.5826481,341.4960758,262.9479988,172.7652736,235.4875473,54.38321719
03/30/1980,151.6575042,172.0030536,146.4832885,342.2704346,262.9452504,172.6912396,235.4631274,55.41155746
03/31/1980,151.5776012,183.8141085,146.3969229,343.1014394,262.9419534,172.617878,235.4379977,56.43375846
04/01/1980,151.5003527,195.6697761,146.3234727,343.9859993,262.9381083,172.5452254,235.412174,57.44964783
04/02/1980,151.4257835,207.5995618,146.2628386,344.9212359,262.9337338,172.4733211,235.3856654,58.45904362
04/03/1980,151.3539476,219.629979,146.2149379,345.9045266,262.9288199,172.4021924,235.3584951,59.46176536
